row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,OpenET,Affine,LandcoverAffine
5634,US-SP3,2007-03-10,US-SP2,Evergreen Forests,29.75477,-82.16328,2.1,3.5,2.063795377844885,18.390625,0.0710229166666666,0.1166041666666666,0.9275416835791966,0.373719714790469,2.1,1.9353808662399556,1.5830995382694595
5635,US-SP3,2007-04-11,US-SP2,Evergreen Forests,29.75477,-82.16328,4.2,5.3,2.7922732514362987,21.59652083333334,0.0720604166666666,1.745854166666667,0.9859481499638304,-0.1670516255021192,4.2,3.898738252528464,3.078811795420885
5636,US-SRC,2008-04-27,US-SRC,Mixed Forests,31.9083,-110.8395,0.2,7.9,0.2528995691946779,23.343437500000004,2.599708333333333,3.9342083333333338,0.895839290734909,-0.4443781781046132,0.2,0.1774602088493351,0.15325614217736172
5637,US-SRC,2008-05-04,US-SRC,Mixed Forests,31.9083,-110.8395,0.2,7.4,0.3283178121101254,23.23670833333333,2.555624999999999,2.7576666666666663,0.835925479418637,-0.548842958284719,0.2,0.1774602088493351,0.15325614217736172
5638,US-SRC,2008-05-05,US-SRC,Mixed Forests,31.9083,-110.8395,0.0,7.6,0.3133382292437382,22.21010416666667,2.165125,2.919208333333333,0.8263541987239096,-0.5631507242749186,0.0,-0.005537127952066623,-0.010121078737362232
5639,US-SRC,2008-05-12,US-SRC,Mixed Forests,31.9083,-110.8395,0.1,9.1,0.2472732099941796,23.49477083333333,2.523354166666666,4.217791666666666,0.7526668275320084,-0.6584015846980488,0.1,0.08596154044863402,0.07156753171999952
5640,US-SRC,2008-06-05,US-SRC,Mixed Forests,31.9083,-110.8395,0.1,8.3,0.3073840636447205,23.10995833333333,1.9255208333333336,3.7672500000000007,0.4250003399695541,-0.9051931898913974,0.1,0.08596154044863402,0.07156753171999952
5641,US-SRC,2008-07-15,US-SRC,Mixed Forests,31.9083,-110.8395,2.0,6.3,3.239482347832465,27.87008333333333,1.6724375,1.3737708333333332,-0.2470221804809352,-0.9690098257244064,2.0,1.8244362400619512,1.6236511304098733
5642,US-SRC,2008-09-02,US-SRC,Mixed Forests,31.9083,-110.8395,2.2,5.0,3.459298419681391,25.33527083333333,1.1968125000000005,1.5339375000000002,-0.888057322629493,-0.4597327394521046,2.2,2.0074335768633533,1.7870283513245973
5643,US-SRC,2008-09-09,US-SRC,Mixed Forests,31.9083,-110.8395,1.9,5.8,2.1629962295799494,26.20758333333333,1.7123958333333331,1.70775,-0.9368813462954316,-0.3496474552512282,1.9,1.73293757166125,1.5419625199525115
