row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,OpenET,fold,Affine,DirectMLP_noVPD_20260713,DirectMLP_noVPD_20260714,DirectMLP_noVPD_20260715,DirectMLP_noVPD,ResidualMLP_noVPD_20260713,ResidualMLP_noVPD_20260714,ResidualMLP_noVPD_20260715,ResidualMLP_noVPD
0,Almond_High,2016-10-18,Almond_High,Croplands,36.169669,-120.201004,2.8,4.7000003,3.2692028299273965,15.92115416666667,0.8792485312499999,1.981040947125,-0.9510565162951536,0.3090169943749472,2.8,8,2.578171381610275,2.131565092776095,2.2689409770601765,2.209975225107864,2.2034937649813786,2.2519593778421485,2.405372693712924,2.0615262739123548,2.2396194484891425
1,Almond_High,2016-10-19,Almond_High,Croplands,36.169669,-120.201004,2.7,4.1,3.3010889439100146,17.11445833333333,1.1666514708333335,1.650064305041666,-0.9455963874271428,0.3253420847119795,2.7,8,2.488357078911741,2.3965355141754836,2.308257995127496,2.2982065437964323,2.334333351033137,2.2511297625216105,2.4767707659928235,2.1304034262657305,2.2861013182600547
2,Almond_High,2016-10-26,Almond_High,Croplands,36.169669,-120.201004,2.6,3.7,3.4350545255037304,19.530833333333337,1.3863679250000005,1.0243062465624997,-0.8996308696522434,0.4366512319560638,2.6,8,2.398542776213206,2.569503842273368,2.436420065554204,2.5756171446804115,2.5271803508359945,2.2344784244817895,2.6419874901833906,2.4999930072835648,2.458819640649582
3,Almond_High,2016-11-03,Almond_High,Croplands,36.169669,-120.201004,1.9,2.9,2.334877953351536,14.920789583333333,0.4930906729166667,0.9247025995833332,-0.8311706263658079,0.5560174366570446,1.9,8,1.769842657323462,1.976578321001894,1.8605466617713278,1.8907632953463578,1.9092960927065263,1.7677248407739985,1.9875251235307254,1.8891382146514573,1.8814627263187271
4,Almond_High,2016-11-11,Almond_High,Croplands,36.169669,-120.201004,2.5,2.2,2.7000762496688107,19.603416666666664,1.1845941458333331,1.089986917208333,-0.7469720876965551,0.6648553979642867,2.5,8,2.308728473514671,2.601789961700308,2.540248782025821,2.68237608382887,2.6081382758516667,2.548230781770112,2.6898915788403204,2.5658647982923712,2.601329052967601
5,Almond_High,2016-11-12,Almond_High,Croplands,36.169669,-120.201004,1.9,2.0,2.7264139166428487,18.873187500000004,0.8960911145833333,1.1228501896875,-0.7354170229639858,0.6776147890466887,1.9,8,1.769842657323462,2.009898219102623,2.069080359666485,2.1398505222415887,2.0729430336702324,1.9656794259404093,2.1650318393927694,2.073119295945644,2.0679435204262746
6,Almond_High,2016-11-19,Almond_High,Croplands,36.169669,-120.201004,1.5,2.2,2.7975236141092656,16.410229166666667,1.0027266416666667,2.169221181020833,-0.6486295610349818,0.7611042586607742,1.5,8,1.4105854465293226,1.4507775378144068,1.6082760534104394,1.6296526427248683,1.562902077983238,1.5912893137269106,1.6331590774755802,1.6087022360583503,1.6110502090869467
7,Almond_High,2016-11-27,Almond_High,Croplands,36.169669,-120.201004,0.6,3.3,2.3380649992034033,10.393670833333331,0.3336782104166667,1.2914638640833334,-0.5380051715382992,0.8429415373547832,0.6,8,0.6022567222425093,0.5245714263147754,0.4362311535824468,0.5551496773250562,0.5053174190740928,0.6487616156284349,0.7252785933358068,0.6959758324466179,0.6900053471369532
8,Almond_High,2016-12-13,Almond_High,Croplands,36.169669,-120.201004,0.8,0.7,0.6193984978949034,12.30406666666667,0.3672009604166666,0.7228942865000001,-0.2884824328806098,0.9574851883550388,0.8,8,0.781885327639579,0.8354496720307987,0.8037232142127952,1.1080446544757239,0.9157391802397726,0.8801032312431419,0.9124034011627726,0.9661823960917801,0.9195630094992316
9,Almond_High,2016-12-14,Almond_High,Croplands,36.169669,-120.201004,1.0,1.2,0.4734243753850046,13.690118750000003,0.4505191416666665,1.2998963814166666,-0.2719581575341052,0.9623090774541488,1.0,8,0.9615139330366487,0.9280898625954279,0.99818090487291,1.264160959856352,1.0634772424415633,1.03852015770268,1.0741662046891327,1.1282800238232729,1.0803221287383618
