row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,OpenET,fold,Affine,DirectMLP_noVPD_20260713,DirectMLP_noVPD_20260714,DirectMLP_noVPD_20260715,DirectMLP_noVPD,ResidualMLP_noVPD_20260713,ResidualMLP_noVPD_20260714,ResidualMLP_noVPD_20260715,ResidualMLP_noVPD
0,Almond_High,2016-10-18,Almond_High,Croplands,36.169669,-120.201004,2.8,4.7000003,3.2692028299273965,15.92115416666667,0.8792485312499999,1.981040947125,-0.9510565162951536,0.3090169943749472,2.8,4,2.5860103857921626,2.64579212311344,2.5553388953401304,2.4678662172292305,2.556332411894267,2.341635200234575,2.4523475333224076,2.3748553029212456,2.389612678826076
1,Almond_High,2016-10-19,Almond_High,Croplands,36.169669,-120.201004,2.7,4.1,3.3010889439100146,17.11445833333333,1.1666514708333335,1.650064305041666,-0.9455963874271428,0.3253420847119795,2.7,4,2.494668172788078,2.666553383009775,2.5543895058607697,2.3868214661642595,2.5359214516782678,2.408277823380359,2.547761373478127,2.4156533778569074,2.4572308582384643
2,Almond_High,2016-10-26,Almond_High,Croplands,36.169669,-120.201004,2.6,3.7,3.4350545255037304,19.530833333333337,1.3863679250000005,1.0243062465624997,-0.8996308696522434,0.4366512319560638,2.6,4,2.4033259597839924,2.9634660901885277,2.8271410138579105,3.0208984190322816,2.9371685076929066,2.708926078029102,2.8667979824360525,2.7868519672404504,2.7875253425685345
3,Almond_High,2016-11-03,Almond_High,Croplands,36.169669,-120.201004,1.9,2.9,2.334877953351536,14.920789583333333,0.4930906729166667,0.9247025995833332,-0.8311706263658079,0.5560174366570446,1.9,4,1.7639304687553965,2.2279844113613443,2.1083644741664695,2.0243450905563236,2.120231325361379,2.0324621118730897,2.1512482280393983,2.1152271944662546,2.099645844792914
4,Almond_High,2016-11-11,Almond_High,Croplands,36.169669,-120.201004,2.5,2.2,2.7000762496688107,19.603416666666664,1.1845941458333331,1.089986917208333,-0.7469720876965551,0.6648553979642867,2.5,4,2.3119837467799074,2.9832644095334837,2.9379632738162393,3.022825912464815,2.981351198604846,2.772129209724561,3.0247053242222774,2.7795270505705867,2.8587871948391417
5,Almond_High,2016-11-12,Almond_High,Croplands,36.169669,-120.201004,1.9,2.0,2.7264139166428487,18.873187500000004,0.8960911145833333,1.1228501896875,-0.7354170229639858,0.6776147890466887,1.9,4,1.7639304687553965,2.5821675155338424,2.3000636801931535,2.42906468318173,2.437098626302909,2.1754636051950156,2.3362505482228433,2.289829225544134,2.2671811263206645
6,Almond_High,2016-11-19,Almond_High,Croplands,36.169669,-120.201004,1.5,2.2,2.7975236141092656,16.410229166666667,1.0027266416666667,2.169221181020833,-0.6486295610349818,0.7611042586607742,1.5,4,1.398561616739056,1.845991139897039,1.7059328125272846,1.6645027728933233,1.7388089084392158,1.6408434270599466,1.8220442728498316,1.5991251765338974,1.6873376254812253
7,Almond_High,2016-11-27,Almond_High,Croplands,36.169669,-120.201004,0.6,3.3,2.3380649992034033,10.393670833333331,0.3336782104166667,1.2914638640833334,-0.5380051715382992,0.8429415373547832,0.6,4,0.5764816997022897,0.6322958097439875,0.38970035303578143,0.37886287448983125,0.46695301242320003,0.7031230833040663,0.654802031293614,0.4970022463914102,0.6183091203296969
8,Almond_High,2016-12-13,Almond_High,Croplands,36.169669,-120.201004,0.8,0.7,0.6193984978949034,12.30406666666667,0.3672009604166666,0.7228942865000001,-0.2884824328806098,0.9574851883550388,0.8,4,0.75916612571046,1.0660474695246573,0.8653815464725187,0.995897836820304,0.9757756176058267,0.8904574844013675,0.8571143187624526,0.9297107249692269,0.8924275093776823
9,Almond_High,2016-12-14,Almond_High,Croplands,36.169669,-120.201004,1.0,1.2,0.4734243753850046,13.690118750000003,0.4505191416666665,1.2998963814166666,-0.2719581575341052,0.9623090774541488,1.0,4,0.9418505517186302,0.9939114432933027,1.0534998569954437,1.0976374383178342,1.0483495795355269,1.0690672326807953,1.107490867400104,1.0814447394767654,1.0860009465192215
