condition,method,aurc_mm_day,ci95_low_mm_day,ci95_high_mm_day,bootstrap_draws,bootstrap_seed
clean,Gain,0.7861011875297695,0.6786341525446845,0.902814146476323,2000,20261004
clean,SupportGain,0.7501399916001776,0.6430032620443574,0.8651194171109701,2000,20261004
clean,MonoGain,0.7783989304196944,0.6779945683991693,0.8848555263251678,2000,20261004
clean,AugmentedGain,0.8935672045481556,0.7464952896828655,1.0607223573051594,2000,20261004
clean,TunedGain,0.8467591367551893,0.7329354977771964,0.969711986163675,2000,20261004
clean,LogisticSign,0.7894164774522809,0.6732228278990141,0.9305403000429945,2000,20261004
clean,ConformalCSR,0.6243445526136281,0.5475458427645874,0.7019430402599736,2000,20261004
wind_x0,Gain,1.3812506206388897,1.1396474106632466,1.6321104823835182,2000,20261005
wind_x0,SupportGain,0.7940260059891888,0.6941374617764834,0.9068023723940084,2000,20261005
wind_x0,MonoGain,1.302122623962684,1.054067163928889,1.5610801268785541,2000,20261005
wind_x0,AugmentedGain,0.884589453464313,0.7424058828477945,1.03454563167555,2000,20261005
wind_x0,TunedGain,1.3858945224809054,1.1455015759455989,1.6320611645790075,2000,20261005
wind_x0,LogisticSign,1.3634609162431346,1.091591366350547,1.635272196158502,2000,20261005
wind_x0,ConformalCSR,0.8753908936285335,0.7492719396830319,1.0059379980332404,2000,20261005
wind_x0.447,Gain,1.122928747611132,0.9461509323797822,1.3126475940164064,2000,20261006
wind_x0.447,SupportGain,0.9732690771486342,0.8409439203048847,1.1098448339734766,2000,20261006
wind_x0.447,MonoGain,1.0790076981757146,0.9129319121626299,1.259733405088068,2000,20261006
wind_x0.447,AugmentedGain,0.9287781584475467,0.7540302915644527,1.1570302872784486,2000,20261006
wind_x0.447,TunedGain,1.1854604905700497,0.9921395362905445,1.3908917120352573,2000,20261006
wind_x0.447,LogisticSign,1.1392200558230205,0.9322977575952907,1.372686832062534,2000,20261006
wind_x0.447,ConformalCSR,0.7660775843302414,0.6555982807129999,0.8788169223258515,2000,20261006
wind_x2.237,Gain,1.0979352887573475,0.9896461140508247,1.2069072073717646,2000,20261007
wind_x2.237,SupportGain,0.8301061554662561,0.729059734026894,0.9319134659633105,2000,20261007
wind_x2.237,MonoGain,1.002724450270376,0.9019404944593049,1.103279287441296,2000,20261007
wind_x2.237,AugmentedGain,0.9333545001324809,0.7807107670852244,1.100259096380313,2000,20261007
wind_x2.237,TunedGain,1.0739156717408842,0.9600085337285165,1.184940869020763,2000,20261007
wind_x2.237,LogisticSign,1.0334863578735807,0.9430833527257452,1.1341395376430627,2000,20261007
wind_x2.237,ConformalCSR,0.8157884222679738,0.7405291493770669,0.8990179565580421,2000,20261007
wind_x3.6,Gain,1.374955903834836,1.1886056883503962,1.5659354315433252,2000,20261008
wind_x3.6,SupportGain,0.940002945905411,0.8310245059946786,1.0586022811003175,2000,20261008
wind_x3.6,MonoGain,1.29882464024349,1.1050308128574355,1.4891449893116409,2000,20261008
wind_x3.6,AugmentedGain,1.000331567773526,0.8452206454874532,1.174693722260438,2000,20261008
wind_x3.6,TunedGain,1.3117318984502213,1.1402702600760064,1.4964988089450715,2000,20261008
wind_x3.6,LogisticSign,1.199115378094496,1.1005764858456757,1.3098546926144403,2000,20261008
wind_x3.6,ConformalCSR,0.9598217126238052,0.8765706795824172,1.0545286396669753,2000,20261008
wind_x5,Gain,1.5273764581372893,1.301926570098047,1.7616650319594327,2000,20261009
wind_x5,SupportGain,1.0466642540692326,0.9323433323085208,1.1647134870404214,2000,20261009
wind_x5,MonoGain,1.4879402824079286,1.2517943616674383,1.7273350521301947,2000,20261009
wind_x5,AugmentedGain,1.0517921543012951,0.91638702083242,1.204040272612903,2000,20261009
wind_x5,TunedGain,1.4885551886931403,1.2886920131215078,1.7106538567930034,2000,20261009
wind_x5,LogisticSign,1.277753802203563,1.1734285410596303,1.3959366232551074,2000,20261009
wind_x5,ConformalCSR,1.0438392167622736,0.952752046083064,1.1410969063551761,2000,20261009
wind_x10,Gain,1.994476475794353,1.7357312931335283,2.258448084570483,2000,20261010
wind_x10,SupportGain,1.2977042993078163,1.194388309822688,1.4226163222193673,2000,20261010
wind_x10,MonoGain,1.995677705494469,1.6884321260316146,2.27993797731605,2000,20261010
wind_x10,AugmentedGain,1.110228608919738,0.9730276126226542,1.2704032185961482,2000,20261010
wind_x10,TunedGain,1.9742929419021271,1.7252624904900786,2.2233375656039636,2000,20261010
wind_x10,LogisticSign,1.4966779158991943,1.3449375463937725,1.6747315934810698,2000,20261010
wind_x10,ConformalCSR,1.2316872907971206,1.126794420031751,1.3546182923588885,2000,20261010
