condition,method,coverage,selective_mae_mm_day,ci95_low_mm_day,ci95_high_mm_day
clean,Gain,0.51,0.7207937326485221,0.6298701273493574,0.8442621967802537
clean,Gain,0.52,0.733399373208238,0.6276255524439958,0.8398693392122627
clean,Gain,0.53,0.731033729908512,0.6263561551020477,0.8390212048808771
clean,Gain,0.54,0.7255411542697491,0.6238510250800013,0.8384207642904027
clean,Gain,0.55,0.7211974552859832,0.6213502944294738,0.8336409652139158
clean,Gain,0.56,0.7165607941578817,0.6202090169367849,0.8276895361094269
clean,Gain,0.5700000000000001,0.7149080739786996,0.617173871923691,0.8245106542008462
clean,Gain,0.58,0.7089004917225332,0.6165486779447357,0.8215715217567374
clean,Gain,0.59,0.7135245413142496,0.6177428583537642,0.822014222411977
clean,Gain,0.6,0.7076485629436129,0.615236687341084,0.8221051181970858
clean,Gain,0.61,0.7031660618057606,0.6153785790746,0.8242716086128556
clean,Gain,0.62,0.7064435192897977,0.6149968811679891,0.8278547008635948
clean,Gain,0.63,0.709787312516505,0.6164223861672155,0.8362181181928352
clean,Gain,0.64,0.7093534824776514,0.6172382115417042,0.8387036594012873
clean,Gain,0.65,0.7212726752744131,0.6207918644598951,0.8437194341849084
clean,Gain,0.66,0.7274892029498511,0.6248865587066822,0.8514972598143671
