condition,method,fixed_coverage,fixed_selective_mae_mm_day,fixed_end_to_end_station_macro_mae_mm_day,accepted_rows
clean,Gain,0.7558069915887121,0.7703460632169411,0.8058158972796546,6026
clean,SupportGain,0.7327977145910547,0.7567595340715231,0.8006635915460906,5835
clean,MonoGain,0.7659496914196565,0.7650314525221849,0.8106327336338198,6135
clean,AugmentedGain,0.14958152737576075,1.0816242093275545,0.8422527498064846,1056
clean,TunedGain,0.7956805815745545,0.7847538357211915,0.8120072789031236,6407
clean,LogisticSign,0.44320965075809227,0.7690689751572132,0.8175418864335328,3609
clean,ConformalCSR,0.6039671053253212,0.670827900113868,0.8101346142445838,5223
wind_x0,Gain,0.7065021830213329,1.1168940544362835,1.0459153912302386,5994
wind_x0,SupportGain,0.05870213978415615,0.5446506805745861,0.858048824898049,632
wind_x0,MonoGain,0.5642211981152264,1.1404835833319478,1.0209121026246775,5000
wind_x0,AugmentedGain,0.035756695426872036,1.0905637313503138,0.8551499860542694,182
wind_x0,TunedGain,0.7384554549161086,1.1305453826689305,1.0485710046290777,5925
wind_x0,LogisticSign,0.6725580394436309,1.1280818738433438,1.0550852824724637,5608
wind_x0,ConformalCSR,0.5522972474889041,0.9133286691951626,0.961450182387003,4833
wind_x0.447,Gain,0.7299442746231609,0.9250710942652387,0.9349426313090741,6143
wind_x0.447,SupportGain,0.6682606907244976,0.8957261600577188,0.9102458332713987,5562
wind_x0.447,MonoGain,0.7046382677608132,0.8993639031196019,0.9229083608728905,5820
wind_x0.447,AugmentedGain,0.10871189883381764,1.2265279289535616,0.8576676639032912,669
wind_x0.447,TunedGain,0.728119595210921,0.9785320165243975,0.9372608571764245,5842
wind_x0.447,LogisticSign,0.6133341754598527,0.9543517634853462,0.9470114466871887,5166
wind_x0.447,ConformalCSR,0.6003420537750763,0.8242139970293775,0.8961599017838292,5142
wind_x2.237,Gain,0.7812711179995754,0.9662756272110075,0.9604519784125268,6331
wind_x2.237,SupportGain,0.3293305702108214,0.7458197225906164,0.8825039943868795,3067
wind_x2.237,MonoGain,0.6142259238076179,0.9104357765192723,0.9145101429836499,5214
wind_x2.237,AugmentedGain,0.0624747625504678,1.3743542420446975,0.8533369453737238,383
wind_x2.237,TunedGain,0.8116708620845745,0.943020159458795,0.9545002341103204,6633
wind_x2.237,LogisticSign,0.4226571798316449,1.0799519599567253,0.9546350983710056,3485
wind_x2.237,ConformalCSR,0.5340000303301398,0.8641511590909914,0.9127027592222522,4711
