row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,fold,OpenET,Affine,WeatherRidge_noVPD,CombinedRidge_noVPD,WeatherHGB_noVPD,DirectHGB_noVPD,ResidualHGB_noVPD,GatedHGB_noVPD,WeatherRidge_clipped,CombinedRidge_clipped
0,Almond_High,2016-10-18,Almond_High,Croplands,36.169669,-120.201004,2.8,4.7000003,3.2692028299273965,15.92115416666667,0.8792485312499999,1.981040947125,-0.9510565162951536,0.3090169943749472,4,2.8,2.5860103857921626,1.212228505046918,2.439084903612464,1.3611584743163876,2.3481064885050675,2.484056543917874,2.6915548339484094,1.2477927629992414,2.4276471825762846
1,Almond_High,2016-10-19,Almond_High,Croplands,36.169669,-120.201004,2.7,4.1,3.3010889439100146,17.11445833333333,1.1666514708333335,1.650064305041666,-0.9455963874271428,0.3253420847119795,4,2.7,2.494668172788078,1.3440838059626903,2.4337358706832974,1.3856387517097055,2.4053481728637727,2.535332480934736,2.643479138103452,1.2395284572598488,2.3956438830019504
2,Almond_High,2016-10-26,Almond_High,Croplands,36.169669,-120.201004,2.6,3.7,3.4350545255037304,19.530833333333337,1.3863679250000005,1.0243062465624997,-0.8996308696522434,0.4366512319560638,4,2.6,2.4033259597839924,1.322142860424897,2.4387460537848855,1.592725174848859,2.4221775478157124,2.342735670981308,2.511695993879579,1.151329487585005,2.387962395473329
3,Almond_High,2016-11-03,Almond_High,Croplands,36.169669,-120.201004,1.9,2.9,2.334877953351536,14.920789583333333,0.4930906729166667,0.9247025995833332,-0.8311706263658079,0.5560174366570446,4,1.9,1.7639304687553965,1.0709893364727778,1.7071144928496933,1.290345307502523,1.7137219924521976,1.8126010410289901,1.8700009782260418,1.1760709628646813,1.7177976854159485
4,Almond_High,2016-11-11,Almond_High,Croplands,36.169669,-120.201004,2.5,2.2,2.7000762496688107,19.603416666666664,1.1845941458333331,1.089986917208333,-0.7469720876965551,0.6648553979642867,4,2.5,2.3119837467799074,1.2625677296823432,2.553724056033167,1.372168244739807,2.5150779118167845,2.6041666544666717,2.5357544045404774,1.0977390107271778,2.5161418620892166
5,Almond_High,2016-11-12,Almond_High,Croplands,36.169669,-120.201004,1.9,2.0,2.7264139166428487,18.873187500000004,0.8960911145833333,1.1228501896875,-0.7354170229639858,0.6776147890466887,4,1.9,1.7639304687553965,1.2504272525815243,2.0031288505540146,1.4376383251183915,1.8937429515409712,2.0212635605684923,1.9416227863204703,1.1878145536086073,1.9934335039174829
6,Almond_High,2016-11-19,Almond_High,Croplands,36.169669,-120.201004,1.5,2.2,2.7975236141092656,16.410229166666667,1.0027266416666667,2.169221181020833,-0.6486295610349818,0.7611042586607742,4,1.5,1.398561616739056,1.0187452599248568,1.6267246636353558,1.3126692261369854,1.6563869065496728,1.6177984909556233,1.5404334277744582,0.8718146319047688,1.6013406030874573
7,Almond_High,2016-11-27,Almond_High,Croplands,36.169669,-120.201004,0.6,3.3,2.3380649992034033,10.393670833333331,0.3336782104166667,1.2914638640833334,-0.5380051715382992,0.8429415373547832,4,0.6,0.5764816997022897,0.35595836874963105,0.3773288097684042,0.7625144592184064,0.5176347822822253,0.5413775326272786,0.579878288072736,0.4951952731724949,0.389511220878191
8,Almond_High,2016-12-13,Almond_High,Croplands,36.169669,-120.201004,0.8,0.7,0.6193984978949034,12.30406666666667,0.3672009604166666,0.7228942865000001,-0.2884824328806098,0.9574851883550388,4,0.8,0.75916612571046,0.7800903531879952,0.9114859046971722,1.1108456618047198,0.8432939365051508,0.939290218443658,0.8478102982596935,0.76295326180926,0.9006776893225839
9,Almond_High,2016-12-14,Almond_High,Croplands,36.169669,-120.201004,1.0,1.2,0.4734243753850046,13.690118750000003,0.4505191416666665,1.2998963814166666,-0.2719581575341052,0.9623090774541488,4,1.0,0.9418505517186302,0.7667057694805572,1.1498914862001546,0.7429390005613989,1.0150925803758275,1.0088476414731196,1.0030368850192863,0.7726496808636083,1.1549187267347358
