row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,fold,OpenET,Affine,WeatherRidge_noVPD,CombinedRidge_noVPD,WeatherHGB_noVPD,DirectHGB_noVPD,ResidualHGB_noVPD,GatedHGB_noVPD,WeatherRidge_clipped,CombinedRidge_clipped
0,Almond_High,2016-10-18,Almond_High,Croplands,36.169669,-120.201004,2.8,4.7000003,3.2692028299273965,15.92115416666667,0.8792485312499999,1.981040947125,-0.9510565162951536,0.3090169943749472,8,2.8,2.578171381610275,1.1284363073384496,2.3783646653355968,1.1969590741353933,2.322338365665576,2.38020923902196,2.523910990871868,1.207315215749966,2.3695171697077333
1,Almond_High,2016-10-19,Almond_High,Croplands,36.169669,-120.201004,2.7,4.1,3.3010889439100146,17.11445833333333,1.1666514708333335,1.650064305041666,-0.9455963874271428,0.3253420847119795,8,2.7,2.488357078911741,1.2439034737902586,2.377388549565512,1.124000470619466,2.314276678824152,2.4379798523077243,2.5276739517100726,1.1218607350072702,2.3222007586221176
2,Almond_High,2016-10-26,Almond_High,Croplands,36.169669,-120.201004,2.6,3.7,3.4350545255037304,19.530833333333337,1.3863679250000005,1.0243062465624997,-0.8996308696522434,0.4366512319560638,8,2.6,2.398542776213206,1.1648454359236304,2.364968177074702,1.3124205220833742,2.3746814173423085,2.3011627437487903,2.4034599861684853,0.9468572271859232,2.285833090166805
3,Almond_High,2016-11-03,Almond_High,Croplands,36.169669,-120.201004,1.9,2.9,2.334877953351536,14.920789583333333,0.4930906729166667,0.9247025995833332,-0.8311706263658079,0.5560174366570446,8,1.9,1.769842657323462,0.9757119057059132,1.6664812364416535,1.0365480356847485,1.5959194284997904,1.7730647947336016,1.8165169453376577,1.1065521934078948,1.6808500130260768
4,Almond_High,2016-11-11,Almond_High,Croplands,36.169669,-120.201004,2.5,2.2,2.7000762496688107,19.603416666666664,1.1845941458333331,1.089986917208333,-0.7469720876965551,0.6648553979642867,8,2.5,2.308728473514671,1.0835308255543918,2.487671590616882,0.9737621743655963,2.400153300188111,2.455584945427807,2.470788998836851,0.8456948226765573,2.4122039763587413
5,Almond_High,2016-11-12,Almond_High,Croplands,36.169669,-120.201004,1.9,2.0,2.7264139166428487,18.873187500000004,0.8960911145833333,1.1228501896875,-0.7354170229639858,0.6776147890466887,8,1.9,1.769842657323462,1.0834384922951885,1.952801980541381,1.0624847694449882,1.6976314836372,1.9284640438087801,1.918720301591766,0.9733688156550027,1.9189920047154265
6,Almond_High,2016-11-19,Almond_High,Croplands,36.169669,-120.201004,1.5,2.2,2.7975236141092656,16.410229166666667,1.0027266416666667,2.169221181020833,-0.6486295610349818,0.7611042586607742,8,1.5,1.4105854465293226,0.8803652065621461,1.588616710265463,1.0986399269750575,1.4723120911839944,1.5920594972820015,1.5605459141744935,0.6846135312884494,1.5381654925333783
7,Almond_High,2016-11-27,Almond_High,Croplands,36.169669,-120.201004,0.6,3.3,2.3380649992034033,10.393670833333331,0.3336782104166667,1.2914638640833334,-0.5380051715382992,0.8429415373547832,8,0.6,0.6022567222425093,0.26696722704066955,0.3395282682109817,0.6024076877790677,0.5120210588199327,0.5121639997545906,0.5422318056332783,0.48998604733025153,0.37774889160083425
8,Almond_High,2016-12-13,Almond_High,Croplands,36.169669,-120.201004,0.8,0.7,0.6193984978949034,12.30406666666667,0.3672009604166666,0.7228942865000001,-0.2884824328806098,0.9574851883550388,8,0.8,0.781885327639579,0.6532070314115146,0.896850428860575,1.0989739921702484,0.8526208939995661,0.8983681204893442,0.8646949848358393,0.6068616219470198,0.8730972114413398
9,Almond_High,2016-12-14,Almond_High,Croplands,36.169669,-120.201004,1.0,1.2,0.4734243753850046,13.690118750000003,0.4505191416666665,1.2998963814166666,-0.2719581575341052,0.9623090774541488,8,1.0,0.9615139330366487,0.6147555301890393,1.1203105933173536,0.6367157854943565,0.9216144270020445,0.9393998969513977,0.9601443767729169,0.6057031346188373,1.1152770581496276
