station,date,vp_kpa,vpd_kpa,es_kpa,t_max_c
Almond_High,2016-10-18,0.9847811038790948,0.8792485312499999,1.8640296351290944,21.399
Almond_High,2016-10-19,0.8205397100627504,1.1666514708333335,1.9871911808960836,22.765
Almond_High,2016-10-26,0.9783184921105964,1.3863679250000005,2.3646864171105957,27.497
Almond_High,2016-11-03,1.2660410895402268,0.4930906729166667,1.7591317624568934,22.173
Almond_High,2016-11-11,1.1869995891832466,1.1845941458333331,2.3715937350165803,27.74
Almond_High,2016-11-12,1.317879930351844,0.8960911145833333,2.213971044935176,24.387
Almond_High,2016-11-19,0.8907403395237679,1.0027266416666667,1.8934669811904337,20.504
Almond_High,2016-11-27,0.9415230285379836,0.3336782104166667,1.27520123895465,14.699000000000002
Almond_High,2016-12-13,1.1006498024432936,0.3672009604166666,1.4678507628599595,18.534
Almond_High,2016-12-14,1.1789221285658216,0.4505191416666665,1.629441270232488,21.139
Almond_High,2016-12-22,0.7721299315178839,0.2989272229166667,1.0710571544345504,14.624
Almond_High,2016-12-29,0.7721001592090251,0.2821633208333333,1.0542634800423587,14.55
Almond_High,2017-01-06,0.717589159389374,0.2252230208333333,0.9428121802227072,11.325348
Almond_High,2017-01-31,1.0232343135454485,0.2349611666666666,1.2581954802121151,17.070999999999998
Almond_High,2017-02-23,0.6163331277309985,0.3864496083333333,1.002782736064332,11.466
Almond_High,2017-02-24,0.6139923947449405,0.3494167583333335,0.963409153078274,11.698
Almond_High,2017-03-03,0.922509135309456,0.5572786208333333,1.4797877561427892,20.053
Almond_High,2017-03-11,1.2947695469763334,0.6599561083333333,1.9547256553096664,24.3
Almond_High,2017-03-12,1.142802610199802,0.813547325,1.9563499351998013,24.234
Almond_High,2017-03-27,0.9694759010548398,0.6225635895833332,1.5920394906381736,18.077
Almond_High,2017-03-28,0.8284106695395951,0.8418673729166666,1.6702780424562615,19.333
Almond_High,2017-04-04,0.7252802706906767,1.314392175,2.0396724456906767,25.264
Almond_High,2017-04-12,1.1509800954643925,0.9484973541666668,2.09947744963106,23.245
Almond_High,2017-04-13,0.978527049140109,0.7698915729166664,1.7484186220567757,19.158
Almond_High,2017-04-20,0.9682823331470686,0.8741434291666667,1.8424257623137357,21.334
Almond_High,2017-04-21,0.7944373952577065,1.3428588208333332,2.1372962160910407,24.374
Almond_High,2017-04-28,0.5980745624980389,1.5139129937499998,2.1119875562480384,23.389
Almond_High,2017-04-29,0.5918377199328783,1.5596780583333332,2.151515778266212,24.907
Almond_High,2017-05-07,1.1510819391189944,0.5853433479166666,1.736425287035661,20.2
Almond_High,2017-05-14,0.8494096490200579,0.8776667791666665,1.727076428186724,20.823
Almond_High,2017-05-15,0.8804495854089205,0.9104983791666664,1.7909479645755868,20.469
Almond_High,2017-05-22,1.2423461699182947,2.4627760041666664,3.705122174084962,33.956
Almond_High,2017-05-23,1.2658119935368206,2.646727052083333,3.9125390456201536,35.304
Almond_High,2017-05-30,1.2589242958852782,1.5130753291666668,2.771999625051945,29.243
Almond_High,2017-06-07,1.119322607105398,2.0270201562500008,3.1463427633553973,31.338
Almond_High,2017-06-15,1.1489357699806528,2.1388914729166664,3.2878272428973188,31.556
Almond_High,2017-06-16,1.5893308480042565,2.03082104375,3.620151891754257,33.438
Almond_High,2017-06-23,1.7884335650520116,2.926988304166668,4.715421869218678,38.016
Almond_High,2017-07-01,1.2729212679704167,2.111050325,3.383971592970417,32.314
Almond_High,2017-07-02,1.4438810898567678,2.255718027083333,3.699599116940103,34.664
Almond_High,2017-07-09,1.195697848077266,3.25096554375,4.446663391827264,37.891
Almond_High,2017-07-17,1.3008483848228076,3.13569355,4.436541934822809,37.365
Almond_High,2017-07-18,1.1247632214234096,2.916980204166668,4.041743425590076,35.374
Almond_High,2017-07-25,1.1922294798354305,2.4879937770833336,3.6802232569187634,34.839
Almond_High,2017-07-26,1.5621043053757957,2.287282704166667,3.8493870095424634,34.909
Almond_High,2017-08-10,1.637070968327472,2.261608920833334,3.898679889160807,35.921
Almond_High,2017-08-11,1.436237337273783,2.5400254,3.976262737273785,36.262
Almond_High,2017-08-18,1.6859974603900192,2.388462720833333,4.074460181223354,35.79400000000001
Almond_High,2017-08-19,1.6136417476674318,2.6640571104166666,4.277698858084098,37.304
Almond_High,2017-08-26,1.3358782793522532,2.970250629166667,4.306128908518919,38.62
Almond_High,2017-08-27,1.410686035137361,3.2877244104166654,4.698410445554027,38.852
Almond_High,2017-09-03,1.5738069409207045,4.155421745833333,5.729228686754037,40.743
Almond_High,2017-09-12,1.7493824378376577,2.146243558333333,3.8956259961709914,34.298
Almond_High,2017-09-19,1.18958759992456,1.2053462354166664,2.394933835341227,24.675
Almond_High,2017-09-20,1.2073662201840227,1.2297496562499997,2.437115876434023,26.92
Almond_High,2017-09-27,0.9573895271413478,2.150459170833334,3.1078486979746813,31.798
Almond_High,2017-09-28,0.9960838879088324,2.192002997916666,3.1880868858255,31.942
Almond_High,2017-10-05,0.7333822919199172,1.4220458750000002,2.1554281669199167,25.521
Almond_High,2017-10-06,0.7500042421035222,1.5924973062499996,2.3425015483535225,28.033
Almond_High,2017-10-13,0.6210618361154564,1.119678210416667,1.740740046532123,22.78
Almond_High,2017-10-14,0.7670784037930369,0.9647833083333331,1.7318617121263704,22.008000000000006
Almond_High,2017-10-21,0.9876292929522787,0.5687769354166666,1.5564062283689453,19.608
Almond_High,2017-10-22,1.0988790481536326,0.6903073729166667,1.7891864210702988,22.821
Almond_High,2017-11-06,0.9637706351027844,0.3273295270833333,1.2911001621861171,16.494
Almond_High,2017-11-07,1.0028265562209429,0.3995809770833333,1.4024075333042758,18.58
Almond_High,2017-11-14,1.3420009506302577,0.3254273916666666,1.6674283422969236,19.664
Almond_High,2017-11-15,1.2868514161675528,0.5166340208333334,1.8034854370008857,22.588
Almond_High,2017-11-22,1.2719960339570424,0.5082417770833332,1.7802378110403758,23.402
Almond_High,2017-11-23,1.3715417795008191,0.5032021687500001,1.8747439482508184,23.165
Almond_High,2017-11-30,0.9010313098166712,0.2885761354166668,1.1896074452333378,16.744
Almond_High,2017-12-01,0.9916328664506544,0.2719040333333334,1.263536899783988,17.012
Almond_High,2017-12-08,0.4219208748092351,0.7539112791666666,1.1758321539759018,17.923
Almond_High,2017-12-16,0.4800809137231576,0.8684016312500001,1.3484825449731572,15.396
Almond_High,2017-12-17,0.4234543870840379,0.745659975,1.169114362084038,13.662
Almond_High,2018-01-01,0.8040048097977257,0.4349331520833333,1.2389379618810592,16.344
Almond_High,2018-01-10,1.162289533856839,0.2670981999999999,1.4293877338568384,15.265
Almond_High,2018-01-25,0.9661683074044404,0.265060625,1.2312289324044403,13.263
Almond_High,2018-01-26,0.8088846378873723,0.2471288895833333,1.056013527470706,12.706
Almond_High,2018-02-03,1.139084483258648,0.5921825666666667,1.7312670499253149,22.271
Almond_High,2018-02-10,0.7520652216103801,1.0415865812499996,1.7936518028603798,22.509
Almond_High,2018-02-11,0.5184165769176464,0.9286430833333332,1.4470596602509798,19.339
Almond_High,2018-02-18,0.6783452780212212,0.7531752500000003,1.4315205280212215,18.515
Almond_High,2018-03-06,0.6803035488380867,0.7454395333333332,1.4257430821714203,19.782
Almond_High,2018-03-15,0.8112513903940536,0.47616336875,1.2874147591440537,15.546
Almond_High,2018-03-23,0.931949860571442,0.3110626104166666,1.2430124709881083,14.699000000000002
Almond_High,2018-03-30,1.2737478044330397,1.0821963916666668,2.3559441960997067,27.512
Almond_High,2018-03-31,1.1314089948312984,1.2705825541666669,2.4019915489979646,28.047
Almond_High,2018-04-08,1.0292944334586187,0.6568251874999999,1.6861196209586182,20.518
Almond_High,2018-04-23,1.4026353643470242,1.5425528979166667,2.9451882622636902,30.677
Almond_High,2018-04-24,1.288017091576822,1.6230398812500004,2.9110569728268216,30.442
Almond_High,2018-05-02,1.0609085555135715,0.9085168083333334,1.9694253638469048,23.389
Almond_High,2018-05-09,1.257464585091302,1.4675621895833335,2.725026774674635,28.091
Almond_High,2018-05-10,1.1275969177429166,1.3221808916666664,2.4497778094095835,26.994
Almond_High,2018-05-17,1.0932811862082132,1.0034262625,2.0967074487082136,24.603
Almond_High,2018-05-18,1.3455782036259378,1.1076259104166664,2.453204114042605,27.004
Almond_High,2018-05-26,1.1812233902756624,0.9463832770833336,2.127606667358996,23.042
Almond_High,2018-06-02,1.2042917849431063,1.8938776979166667,3.098169482859773,31.698
Almond_High,2018-06-03,1.440246507599321,2.5113457041666662,3.951592211765989,35.111999999999995
Almond_High,2018-06-10,0.6560459871333227,1.61628490625,2.2723308933833235,24.947
Almond_High,2018-06-11,0.9512905885388744,1.6728210833333332,2.624111671872208,29.074
Almond_High,2018-06-18,1.2976988913503464,1.3538281916666668,2.6515270830170143,28.062
Almond_High,2018-06-19,1.4580177051201926,1.7387610916666665,3.1967787967868597,31.315
Almond_High,2018-06-26,1.5257294327500344,2.02130951875,3.547038951500035,33.486999999999995
Almond_High,2018-06-27,1.2092408545567082,2.0827368187500004,3.291977673306707,32.795
Almond_High,2018-07-04,1.3920597956665208,1.7550741833333332,3.1471339789998543,31.721
Almond_High,2018-07-05,1.6218142450951158,1.6805042229166671,3.302318468011783,32.241
Almond_High,2018-07-12,1.3172474127121128,3.043565547916668,4.360812960628778,37.315
Almond_High,2018-07-13,1.6728306265193744,2.655674847916667,4.328505474436041,36.23
Almond_High,2018-07-20,1.5475471220827306,2.965252410416667,4.512799532499396,37.06
Almond_High,2018-07-21,2.0302373207021778,2.196617375,4.226854695702179,34.703
Almond_High,2018-07-28,1.4416978188765823,2.62329711875,4.064994937626583,36.434
