regime,specification,fold,score,inner_fraction,outer_fraction,full_macro_mae,selected_neural_mae,selected_openet_mae,rows,selected_rows
proximity,archived,0,spread,0.0,0.0,1.0066915393571612,,,355,0
proximity,archived,0,spread,0.1,0.0647887323943662,1.0128767097022908,1.055374460619557,0.940316589983931,355,23
proximity,archived,0,spread,0.2,0.12394366197183099,1.007045025743361,0.9295605508153506,0.8822245783276809,355,44
proximity,archived,0,spread,0.30000000000000004,0.23943661971830985,1.006261410578013,0.9080479770626461,0.9173239879872879,355,85
proximity,archived,0,spread,0.4,0.3492957746478873,1.0176138380314206,0.870435248621951,0.8345554771791152,355,124
proximity,archived,0,spread,0.5,0.4591549295774648,0.8412024421587996,0.9229498314074565,0.909604933357537,355,163
proximity,archived,0,spread,0.6000000000000001,0.5464788732394367,0.8304772166626359,0.9429012757057769,0.9399630323812563,355,194
proximity,archived,0,spread,0.7000000000000001,0.6732394366197183,0.8241078110446515,0.9583705402605666,0.9811311183946385,355,239
proximity,archived,0,spread,0.8,0.7718309859154929,0.7856531054453064,0.9707754987310538,1.0019485136344468,355,274
proximity,archived,0,spread,0.9,0.9042253521126761,0.7804990964130594,0.9725899225553188,0.9973576226674478,355,321
proximity,archived,0,spread,1.0,1.0,0.7734244989583282,0.9688915378619415,1.0117938768557297,355,355
proximity,archived,0,distance,0.0,0.0,1.0066915393571612,,,355,0
proximity,archived,0,distance,0.1,0.11830985915492957,1.014151706340865,1.0023898306375425,0.9126770247551013,355,42
proximity,archived,0,distance,0.2,0.24225352112676057,0.9813104486281047,0.9566134636067675,0.8746032015229429,355,86
proximity,archived,0,distance,0.30000000000000004,0.37746478873239436,0.9990223060174515,0.8726400730393304,0.8442965284464793,355,134
proximity,archived,0,distance,0.4,0.4704225352112676,0.8260509719521574,0.8740299940862831,0.8659354184233107,355,167
proximity,archived,0,distance,0.5,0.6338028169014085,0.8002278257067312,0.9292268615980809,0.9304448326830661,355,225
proximity,archived,0,distance,0.6000000000000001,0.7211267605633803,0.7934517171686547,0.9398382653724846,0.9620804688623203,355,256
proximity,archived,0,distance,0.7000000000000001,0.8309859154929577,0.7803230848407398,0.9666106808238372,0.9947270696823944,355,295
proximity,archived,0,distance,0.8,0.9126760563380282,0.772454582843511,0.9531826791749767,1.0056095961156428,355,324
proximity,archived,0,distance,0.9,0.9661971830985916,0.7694215665309818,0.9477247460546582,1.0051286174052039,355,343
proximity,archived,0,distance,1.0,1.0,0.7734244989583282,0.9688915378619415,1.0117938768557297,355,355
proximity,archived,0,predicted_gain,0.0,0.0,1.0066915393571612,,,355,0
proximity,archived,0,predicted_gain,0.1,0.09859154929577464,1.026281964697204,0.964324969056057,0.7413160513179952,355,35
proximity,archived,0,predicted_gain,0.2,0.21971830985915494,1.0026431996925567,0.8780997924591586,0.7276433849778466,355,78
proximity,archived,0,predicted_gain,0.30000000000000004,0.3323943661971831,1.0004461334473196,0.8448605589374754,0.7670354273018934,355,118
proximity,archived,0,predicted_gain,0.4,0.38309859154929576,0.9891278275406169,0.8392075079679361,0.8015361554607054,355,136
proximity,archived,0,predicted_gain,0.5,0.5577464788732395,0.9916983495787904,0.801637785552184,0.7590656450582903,355,198
proximity,archived,0,predicted_gain,0.6000000000000001,0.6366197183098592,0.9825563398695711,0.8137732612700618,0.7760720962649963,355,226
proximity,archived,0,predicted_gain,0.7000000000000001,0.8253521126760563,0.9823715659266292,0.9471606053700853,0.9163142939010055,355,293
proximity,archived,0,predicted_gain,0.8,0.9014084507042254,0.951584466667201,0.9811595309823804,0.9583124485963858,355,320
proximity,archived,0,predicted_gain,0.9,0.9577464788732394,0.965383922144687,0.9764461676082232,0.9797671070041826,355,340
proximity,archived,0,predicted_gain,1.0,1.0,0.7734244989583282,0.9688915378619415,1.0117938768557297,355,355
proximity,archived,1,spread,0.0,0.0,0.7737864330731312,,,709,0
proximity,archived,1,spread,0.1,0.0846262341325811,0.7621631550816441,0.5979266969624761,0.7309160527551014,709,60
proximity,archived,1,spread,0.2,0.1607898448519041,0.7464772985181358,0.590908580775133,0.8108921002231638,709,114
proximity,archived,1,spread,0.30000000000000004,0.22849083215796898,0.7431391075866721,0.59026981840464,0.8039590397909532,709,162
proximity,archived,1,spread,0.4,0.34132581100141046,0.7095555794511681,0.5859237606299386,0.8685189001252501,709,242
proximity,archived,1,spread,0.5,0.4315937940761636,0.7072750517352915,0.6202839783087376,0.8583358131057504,709,306
proximity,archived,1,spread,0.6000000000000001,0.5458392101551481,0.6953769211121112,0.613225884657815,0.8291088699088305,709,387
proximity,archived,1,spread,0.7000000000000001,0.6488011283497884,0.6838742483752996,0.6133076037509948,0.8476617987811279,709,460
proximity,archived,1,spread,0.8,0.7842031029619182,0.6804733211954819,0.6330759787167014,0.8727077992849172,709,556
proximity,archived,1,spread,0.9,0.8787023977433004,0.686176875420656,0.6562346882815626,0.8796826589040306,709,623
proximity,archived,1,spread,1.0,1.0,3.373190171664809,1.768277101288457,0.8936308418260588,709,709
proximity,archived,1,distance,0.0,0.0,0.7737864330731312,,,709,0
proximity,archived,1,distance,0.1,0.15937940761636107,0.7641110360316303,0.5368892355526398,0.6511854856295548,709,113
proximity,archived,1,distance,0.2,0.3215796897038082,0.7527357208308985,0.6473821015084219,0.7575313838917926,709,228
proximity,archived,1,distance,0.30000000000000004,0.44710860366713684,0.7402812391517668,0.6300131099123757,0.7813910096213855,709,317
proximity,archived,1,distance,0.4,0.5557122708039492,0.7410900125788307,0.6452717787115969,0.7842128388497192,709,394
proximity,archived,1,distance,0.5,0.6657263751763046,0.7132532356215454,0.6463273326420023,0.8133184869133102,709,472
proximity,archived,1,distance,0.6000000000000001,0.7179125528913963,0.7061710682901052,0.6445185266473694,0.8108916754846507,709,509
proximity,archived,1,distance,0.7000000000000001,0.7898448519040903,0.7013219814019781,0.6502826856954783,0.8092534970195716,709,560
proximity,archived,1,distance,0.8,0.840620592383639,0.6979375943475153,0.6508020035216059,0.8191555877496819,709,596
proximity,archived,1,distance,0.9,0.9012693935119888,0.6893936302935816,0.6431093647142139,0.8443964666612872,709,639
proximity,archived,1,distance,1.0,1.0,3.373190171664809,1.768277101288457,0.8936308418260588,709,709
proximity,archived,1,predicted_gain,0.0,0.0,0.7737864330731312,,,709,0
proximity,archived,1,predicted_gain,0.1,0.25952045133991536,3.3884309796229557,4.938467935716346,1.4156212867437796,709,184
proximity,archived,1,predicted_gain,0.2,0.29901269393511987,3.3874951134159623,4.368571491933482,1.3523571982974207,709,212
proximity,archived,1,predicted_gain,0.30000000000000004,0.36812411847672777,3.390087943792626,3.689754085833361,1.237302714081666,709,261
proximity,archived,1,predicted_gain,0.4,0.4710860366713681,3.3811983458719785,2.9700319337768324,1.0633918894589982,709,334
proximity,archived,1,predicted_gain,0.5,0.535966149506347,3.3720121684144315,2.6869915918662297,1.0292294313944585,709,380
proximity,archived,1,predicted_gain,0.6000000000000001,0.6544428772919605,3.3641575636045276,2.3063014497524303,0.9549893929247595,709,464
proximity,archived,1,predicted_gain,0.7000000000000001,0.7066290550070522,3.373152271845454,2.1876469362661433,0.9281008838994856,709,501
proximity,archived,1,predicted_gain,0.8,0.843441466854725,3.379094903725364,1.963388698277659,0.9079563161102898,709,598
proximity,archived,1,predicted_gain,0.9,0.9647390691114246,3.36978355246687,1.7999443820998715,0.8892463536670532,709,684
proximity,archived,1,predicted_gain,1.0,1.0,3.373190171664809,1.768277101288457,0.8936308418260588,709,709
proximity,archived,2,spread,0.0,0.0,0.8553236753781261,,,538,0
proximity,archived,2,spread,0.1,0.08736059479553904,0.8601483457558512,0.8211746383086235,0.8556157988157111,538,47
proximity,archived,2,spread,0.2,0.18401486988847585,0.8285653640728297,0.692905169414779,0.7866078729515066,538,99
proximity,archived,2,spread,0.30000000000000004,0.23977695167286245,0.8200638780443095,0.7222562541101534,0.8581995971879449,538,129
proximity,archived,2,spread,0.4,0.3141263940520446,0.8087284821570356,0.7521637530065437,0.9098905016417418,538,169
proximity,archived,2,spread,0.5,0.41821561338289964,0.8037844391073367,0.7177319657902899,0.865207954968816,538,225
proximity,archived,2,spread,0.6000000000000001,0.5074349442379182,0.8127054152875376,0.711645265826337,0.8251658197106407,538,273
proximity,archived,2,spread,0.7000000000000001,0.6059479553903345,0.7864225793361326,0.7094065126537472,0.8289303774099037,538,326
proximity,archived,2,spread,0.8,0.7230483271375465,0.7763975493234327,0.7261784716435046,0.8615378071220602,538,389
proximity,archived,2,spread,0.9,0.8773234200743495,0.7973489422918956,0.8011119103667895,0.928830404137802,538,472
proximity,archived,2,spread,1.0,1.0,0.7678866911417342,0.8302927565969052,0.9719625287054704,538,538
proximity,archived,2,distance,0.0,0.0,0.8553236753781261,,,538,0
