row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,correction,spread,distance,gain,inner_fold,correction_20260713,correction_20260714,correction_20260715,predicted_gain,outer_fold
0,Almond_High,2016-10-18,Almond_High,Croplands,36.169669,-120.201004,2.8,4.7000003,3.2692028299273965,15.92115416666667,0.8792485312499999,1.981040947125,-0.9510565162951536,0.3090169943749472,-0.6200313418816163,0.07226226747327859,0.6388475505772063,-0.6200313418816163,2,-0.7007573683695354,-0.5979526603449823,-0.5613839969303315,-0.11766014681723214,7
1,Almond_High,2016-10-19,Almond_High,Croplands,36.169669,-120.201004,2.7,4.1,3.3010889439100146,17.11445833333333,1.1666514708333335,1.650064305041666,-0.9455963874271428,0.3253420847119795,-0.5036716303384798,0.02715435876335385,0.6791047538282152,-0.5036716303384798,2,-0.5336924861272042,-0.4964983169088548,-0.4808240879793805,-0.07044020003293476,7
2,Almond_High,2016-10-26,Almond_High,Croplands,36.169669,-120.201004,2.6,3.7,3.4350545255037304,19.530833333333337,1.3863679250000005,1.0243062465624997,-0.8996308696522434,0.4366512319560638,-0.2054318682786951,0.07124928056792988,0.7086904120333177,-0.20543186827869508,2,-0.27316597652433616,-0.1311231535003893,-0.21200647481135992,-0.04363670203692576,7
3,Almond_High,2016-11-03,Almond_High,Croplands,36.169669,-120.201004,1.9,2.9,2.334877953351536,14.920789583333333,0.4930906729166667,0.9247025995833332,-0.8311706263658079,0.5560174366570446,-0.22189469986498178,0.10439369383201012,0.5274303161717306,-0.22189469986498178,2,-0.3004179028932617,-0.10342689119808063,-0.26183930550360296,-0.023858368010887743,7
4,Almond_High,2016-11-11,Almond_High,Croplands,36.169669,-120.201004,2.5,2.2,2.7000762496688107,19.603416666666664,1.1845941458333331,1.089986917208333,-0.7469720876965551,0.6648553979642867,-0.10474807261992274,0.1157622588740337,0.9600275375739219,-0.10474807261992275,2,-0.17127704734258778,-0.17188937304685487,0.02892220252967448,0.018011652786707105,7
5,Almond_High,2016-11-12,Almond_High,Croplands,36.169669,-120.201004,1.9,2.0,2.7264139166428487,18.873187500000004,0.8960911145833333,1.1228501896875,-0.7354170229639858,0.6776147890466887,0.04816451932199547,0.12386009640828348,0.758349722043252,0.0481645193219955,2,0.03809415997189064,-0.07035297956229819,0.17675237755639395,-0.023858368010887743,7
6,Almond_High,2016-11-19,Almond_High,Croplands,36.169669,-120.201004,1.5,2.2,2.7975236141092656,16.410229166666667,1.0027266416666667,2.169221181020833,-0.6486295610349818,0.7611042586607742,0.05258098561718699,0.20074469061603256,0.7789978581660192,0.05258098561718705,2,0.24779672549484733,0.06321609230289293,-0.15326986094617928,-0.029062166521332918,7
7,Almond_High,2016-11-27,Almond_High,Croplands,36.169669,-120.201004,0.6,3.3,2.3380649992034033,10.393670833333331,0.3336782104166667,1.2914638640833334,-0.5380051715382992,0.8429415373547832,-0.06647480609851326,0.07234502813999899,0.6335404333983423,-0.0664748060985132,2,-0.06507783470729095,0.005161619899858638,-0.13950820348810747,-0.023858368010887743,7
8,Almond_High,2016-12-13,Almond_High,Croplands,36.169669,-120.201004,0.8,0.7,0.6193984978949034,12.30406666666667,0.3672009604166666,0.7228942865000001,-0.2884824328806098,0.9574851883550388,-0.06832441614976374,0.13616968161131696,0.5741166355949125,0.06832441614976374,2,-0.037232962379020046,-0.21735112788670052,0.049610841816429385,-0.023858368010887743,7
9,Almond_High,2016-12-14,Almond_High,Croplands,36.169669,-120.201004,1.0,1.2,0.4734243753850046,13.690118750000003,0.4505191416666665,1.2998963814166666,-0.2719581575341052,0.9623090774541488,-0.050599193691315346,0.14681526712829535,0.6017573462820662,0.050599193691315325,2,0.07170066786289153,-0.21341908345247212,-0.010079165484365438,-0.023858368010887743,7
10,Almond_High,2016-12-22,Almond_High,Croplands,36.169669,-120.201004,1.0,1.3000001,0.7460636892627982,7.364753124999999,0.2989272229166667,1.2174083991666669,-0.1372787721132651,0.9905324521322229,-0.25583766748595127,0.15165516703630472,0.39986374047991513,0.2520349539884523,2,-0.2226942658692059,-0.42132352439025333,-0.12349521219839452,-0.023858368010887743,7
