row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,correction,spread,distance,gain,inner_fold,correction_20260713,correction_20260714,correction_20260715,predicted_gain,outer_fold
0,Almond_High,2016-10-18,Almond_High,Croplands,36.169669,-120.201004,2.8,4.7000003,3.2692028299273965,15.92115416666667,0.8792485312499999,1.981040947125,-0.9510565162951536,0.3090169943749472,-0.5685967679359493,0.101822018449055,0.5059954177130648,-0.5685967679359494,2,-0.4730903020849926,-0.6757352656712668,-0.5569647360515884,0.05997411196539487,9
1,Almond_High,2016-10-19,Almond_High,Croplands,36.169669,-120.201004,2.7,4.1,3.3010889439100146,17.11445833333333,1.1666514708333335,1.650064305041666,-0.9455963874271428,0.3253420847119795,-0.43850201678825423,0.04348536509229988,0.4632963180351776,-0.4385020167882543,2,-0.4775266394840737,-0.39162574931559324,-0.4463536615650958,0.014304207941380055,9
2,Almond_High,2016-10-26,Almond_High,Croplands,36.169669,-120.201004,2.6,3.7,3.4350545255037304,19.530833333333337,1.3863679250000005,1.0243062465624997,-0.8996308696522434,0.4366512319560638,-0.04207266536950705,0.03484596390075183,0.41683239755670787,-0.042072665369507045,2,-0.08199210864221612,-0.017746052760135037,-0.026479834706170005,0.030617447910333558,9
3,Almond_High,2016-11-03,Almond_High,Croplands,36.169669,-120.201004,1.9,2.9,2.334877953351536,14.920789583333333,0.4930906729166667,0.9247025995833332,-0.8311706263658079,0.5560174366570446,0.045112341130814394,0.06973802079466702,0.4189684986649924,0.045112341130814415,2,-0.030593685987776717,0.05919899952578636,0.10673170985443353,-0.006762140571408628,9
4,Almond_High,2016-11-11,Almond_High,Croplands,36.169669,-120.201004,2.5,2.2,2.7000762496688107,19.603416666666664,1.1845941458333331,1.089986917208333,-0.7469720876965551,0.6648553979642867,0.2309536121581838,0.04480488280218593,0.6235616942335813,0.1691988871794375,2,0.18900788866398985,0.2781542212986252,0.22569872651193637,0.014304207941380055,9
5,Almond_High,2016-11-12,Almond_High,Croplands,36.169669,-120.201004,1.9,2.0,2.7264139166428487,18.873187500000004,0.8960911145833333,1.1228501896875,-0.7354170229639858,0.6776147890466887,0.3212825634929512,0.05796076309291741,0.5945053882229635,0.32128256349295126,2,0.3408110244666257,0.3669568527132008,0.2560798132990272,0.008954508107354937,9
6,Almond_High,2016-11-19,Almond_High,Croplands,36.169669,-120.201004,1.5,2.2,2.7975236141092656,16.410229166666667,1.0027266416666667,2.169221181020833,-0.6486295610349818,0.7611042586607742,0.12229029828570694,0.048046236556297015,0.5956324816017101,0.12229029828570703,2,0.15209756559540807,0.14790932445063706,0.06686400481107568,0.008954508107354937,9
7,Almond_High,2016-11-27,Almond_High,Croplands,36.169669,-120.201004,0.6,3.3,2.3380649992034033,10.393670833333331,0.3336782104166667,1.2914638640833334,-0.5380051715382992,0.8429415373547832,-0.10403674679304468,0.07694749714646755,0.37109301604100786,-0.10403674679304475,2,-0.0317659521989892,-0.09541036906200287,-0.184933919118142,-0.008495945313539678,9
8,Almond_High,2016-12-13,Almond_High,Croplands,36.169669,-120.201004,0.8,0.7,0.6193984978949034,12.30406666666667,0.3672009604166666,0.7228942865000001,-0.2884824328806098,0.9574851883550388,0.6281654595272638,0.025967667373547134,0.63590965008942,-0.6281654595272638,2,0.6540333184340591,0.6020991214788375,0.6283639386688948,0.09344325219309256,9
9,Almond_High,2016-12-14,Almond_High,Croplands,36.169669,-120.201004,1.0,1.2,0.4734243753850046,13.690118750000003,0.4505191416666665,1.2998963814166666,-0.2719581575341052,0.9623090774541488,0.4999889705765992,0.06368872695328409,0.5621095681365743,-0.4999889705765993,2,0.5666434937962431,0.4935714626204515,0.43975195531310296,0.0051196453741483615,9
