case,selector,budget,coverage,macro_mae,rows,stations,groups
joint_archived_natural,Spread,0.0,0.0,0.8696110955339783,649,27,24
joint_archived_natural,Spread,0.1,0.10000000000000006,0.8157409382698002,649,27,24
joint_archived_natural,Spread,0.2,0.20000000000000012,0.8113062409415722,649,27,24
joint_archived_natural,Spread,0.30000000000000004,0.30000000000000027,0.7963957251962714,649,27,24
joint_archived_natural,Spread,0.4,0.40000000000000024,0.784007797375611,649,27,24
joint_archived_natural,Spread,0.5,0.5,0.7985181034770659,649,27,24
joint_archived_natural,Spread,0.6000000000000001,0.5999999999999998,0.7998576788058601,649,27,24
joint_archived_natural,Spread,0.7000000000000001,0.7000000000000012,0.8068108382806515,649,27,24
joint_archived_natural,Spread,0.8,0.8000000000000016,0.7762292270222843,649,27,24
joint_archived_natural,Spread,0.9,0.9000000000000022,0.7798594752091463,649,27,24
joint_archived_natural,Spread,1.0,1.0,0.7655783763651198,649,27,24
joint_archived_natural,Support,0.0,0.0,0.8696110955339783,649,27,24
joint_archived_natural,Support,0.1,0.10000000000000005,0.8567746113994837,649,27,24
joint_archived_natural,Support,0.2,0.20000000000000012,0.8536965951430993,649,27,24
joint_archived_natural,Support,0.30000000000000004,0.3000000000000002,0.8503172015010244,649,27,24
joint_archived_natural,Support,0.4,0.39999999999999986,0.8293417848451815,649,27,24
joint_archived_natural,Support,0.5,0.4999999999999996,0.7844739856531616,649,27,24
joint_archived_natural,Support,0.6000000000000001,0.5999999999999992,0.7835689303812182,649,27,24
joint_archived_natural,Support,0.7000000000000001,0.7000000000000002,0.7833722997861068,649,27,24
joint_archived_natural,Support,0.8,0.8000000000000016,0.7698493481559795,649,27,24
joint_archived_natural,Support,0.9,0.9000000000000021,0.7720401419379739,649,27,24
joint_archived_natural,Support,1.0,1.0,0.7655783763651198,649,27,24
joint_archived_natural,Gain,0.0,0.0,0.8696110955339783,649,27,24
joint_archived_natural,Gain,0.1,0.09999999999999995,0.8417166452943508,649,27,24
joint_archived_natural,Gain,0.2,0.2000000000000001,0.8390970858010904,649,27,24
joint_archived_natural,Gain,0.30000000000000004,0.3000000000000003,0.8365955164542314,649,27,24
joint_archived_natural,Gain,0.4,0.40000000000000097,0.8240089918862694,649,27,24
joint_archived_natural,Gain,0.5,0.5000000000000011,0.8183618005734432,649,27,24
joint_archived_natural,Gain,0.6000000000000001,0.6000000000000008,0.821134222596149,649,27,24
joint_archived_natural,Gain,0.7000000000000001,0.7000000000000021,0.8094693944694208,649,27,24
joint_archived_natural,Gain,0.8,0.8000000000000022,0.8125112176280854,649,27,24
joint_archived_natural,Gain,0.9,0.9000000000000036,0.8162829879376251,649,27,24
joint_archived_natural,Gain,1.0,1.0,0.7655783763651198,649,27,24
joint_archived_probe_clean,Spread,0.0,0.0,0.8702711469759871,646,27,24
joint_archived_probe_clean,Spread,0.1,0.10000000000000006,0.8163914020893317,646,27,24
joint_archived_probe_clean,Spread,0.2,0.20000000000000012,0.8119885441456773,646,27,24
joint_archived_probe_clean,Spread,0.30000000000000004,0.30000000000000027,0.7970415314603608,646,27,24
joint_archived_probe_clean,Spread,0.4,0.40000000000000013,0.7846350984288469,646,27,24
joint_archived_probe_clean,Spread,0.5,0.4999999999999997,0.7993667214422698,646,27,24
joint_archived_probe_clean,Spread,0.6000000000000001,0.5999999999999992,0.8008503926408085,646,27,24
joint_archived_probe_clean,Spread,0.7000000000000001,0.700000000000001,0.8079033973064463,646,27,24
joint_archived_probe_clean,Spread,0.8,0.8000000000000016,0.7774801053953196,646,27,24
joint_archived_probe_clean,Spread,0.9,0.9000000000000022,0.7804700803128501,646,27,24
joint_archived_probe_clean,Spread,1.0,1.0,0.7667728163992121,646,27,24
joint_archived_probe_clean,Support,0.0,0.0,0.8702711469759871,646,27,24
joint_archived_probe_clean,Support,0.1,0.10000000000000009,0.8574208722455888,646,27,24
joint_archived_probe_clean,Support,0.2,0.20000000000000012,0.8544970585369592,646,27,24
joint_archived_probe_clean,Support,0.30000000000000004,0.30000000000000027,0.8504395550429056,646,27,24
joint_archived_probe_clean,Support,0.4,0.39999999999999986,0.829484348105716,646,27,24
joint_archived_probe_clean,Support,0.5,0.4999999999999996,0.7847241504423086,646,27,24
joint_archived_probe_clean,Support,0.6000000000000001,0.599999999999999,0.783726833827271,646,27,24
joint_archived_probe_clean,Support,0.7000000000000001,0.7000000000000002,0.7837207182817822,646,27,24
joint_archived_probe_clean,Support,0.8,0.8000000000000018,0.7703905388825463,646,27,24
joint_archived_probe_clean,Support,0.9,0.9000000000000024,0.7725065784367467,646,27,24
joint_archived_probe_clean,Support,1.0,1.0,0.7667728163992121,646,27,24
joint_archived_probe_clean,Gain,0.0,0.0,0.8702711469759871,646,27,24
joint_archived_probe_clean,Gain,0.1,0.10000000000000002,0.8420959541712536,646,27,24
joint_archived_probe_clean,Gain,0.2,0.2000000000000002,0.839681647927347,646,27,24
joint_archived_probe_clean,Gain,0.30000000000000004,0.30000000000000054,0.8373012520569553,646,27,24
joint_archived_probe_clean,Gain,0.4,0.40000000000000113,0.8245317687387506,646,27,24
joint_archived_probe_clean,Gain,0.5,0.5000000000000012,0.8189928585882187,646,27,24
