row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,correction,spread,distance,gain,inner_fold,correction_20260713,correction_20260714,correction_20260715,predicted_gain,outer_fold
0,Almond_High,2016-10-18,Almond_High,Croplands,36.169669,-120.201004,2.8,4.7000003,3.2692028299273965,15.92115416666667,0.8792485312499999,1.981040947125,-0.9510565162951536,0.3090169943749472,-0.5432039343143057,0.06872650255846778,0.5059828791317851,-0.5432039343143056,0,-0.4668506803246758,-0.562646431817325,-0.6001146908009165,-0.013908130141810969,6
1,Almond_High,2016-10-19,Almond_High,Croplands,36.169669,-120.201004,2.7,4.1,3.3010889439100146,17.11445833333333,1.1666514708333335,1.650064305041666,-0.9455963874271428,0.3253420847119795,-0.23946230687998984,0.09533903699639297,0.5208804136413046,-0.23946230687998982,0,-0.12953109284700728,-0.29951496720124576,-0.28934086059171654,-0.015298981105191102,6
2,Almond_High,2016-10-26,Almond_High,Croplands,36.169669,-120.201004,2.6,3.7,3.4350545255037304,19.530833333333337,1.3863679250000005,1.0243062465624997,-0.8996308696522434,0.4366512319560638,0.02456524648607622,0.039139957976171806,0.3777638138142354,0.024565246486076164,0,0.02341565274857821,-0.013987250648920091,0.06426733735857054,-0.018481888673731184,6
3,Almond_High,2016-11-03,Almond_High,Croplands,36.169669,-120.201004,1.9,2.9,2.334877953351536,14.920789583333333,0.4930906729166667,0.9247025995833332,-0.8311706263658079,0.5560174366570446,0.05116511247057443,0.1319237683181413,0.45107393293166514,0.051165112470574425,0,-0.08646195585898866,0.17652927169393468,0.0634280215767773,0.040580064304541925,6
4,Almond_High,2016-11-11,Almond_High,Croplands,36.169669,-120.201004,2.5,2.2,2.7000762496688107,19.603416666666664,1.1845941458333331,1.089986917208333,-0.7469720876965551,0.6648553979642867,0.12362639614529614,0.22098417451195063,0.5981885303440594,0.12362639614529614,0,0.3280205394498601,0.1537217317650238,-0.11086308277899551,0.016363323293028205,6
5,Almond_High,2016-11-12,Almond_High,Croplands,36.169669,-120.201004,1.9,2.0,2.7264139166428487,18.873187500000004,0.8960911145833333,1.1228501896875,-0.7354170229639858,0.6776147890466887,0.04202727186272081,0.14327063640741067,0.49507947990655204,0.042027271862720816,0,0.13694004674902105,0.11191716313824729,-0.12277539429910592,0.037963105413242666,6
6,Almond_High,2016-11-19,Almond_High,Croplands,36.169669,-120.201004,1.5,2.2,2.7975236141092656,16.410229166666667,1.0027266416666667,2.169221181020833,-0.6486295610349818,0.7611042586607742,0.10125704484807767,0.11768009688378238,0.5717830838889544,0.10125704484807763,0,0.050651272044030526,0.017345019165005082,0.23577484333519738,-0.0020853026446803063,6
7,Almond_High,2016-11-27,Almond_High,Croplands,36.169669,-120.201004,0.6,3.3,2.3380649992034033,10.393670833333331,0.3336782104166667,1.2914638640833334,-0.5380051715382992,0.8429415373547832,-0.01316076762704349,0.039186448404012704,0.4355962476808523,-0.013160767627043546,0,-0.03601118486531918,0.032087089654608714,-0.035558207670420006,-0.018481888673731184,6
8,Almond_High,2016-12-13,Almond_High,Croplands,36.169669,-120.201004,0.8,0.7,0.6193984978949034,12.30406666666667,0.3672009604166666,0.7228942865000001,-0.2884824328806098,0.9574851883550388,0.15570457037746596,0.10101911661527185,0.3538681173715803,-0.155704570377466,0,0.2697666415841087,0.07752537041484447,0.11982169913344476,-0.0167472242027481,6
9,Almond_High,2016-12-14,Almond_High,Croplands,36.169669,-120.201004,1.0,1.2,0.4734243753850046,13.690118750000003,0.4505191416666665,1.2998963814166666,-0.2719581575341052,0.9623090774541488,0.09257038712855614,0.06797215054605321,0.4574589819720082,-0.09257038712855614,0,0.17084529308880692,0.05843219134733002,0.04843367694953149,-0.0167472242027481,6
10,Almond_High,2016-12-22,Almond_High,Croplands,36.169669,-120.201004,1.0,1.3000001,0.7460636892627982,7.364753124999999,0.2989272229166667,1.2174083991666669,-0.1372787721132651,0.9905324521322229,0.1317711075190946,0.10822859301721566,0.40293365577999296,-0.1317711075190946,0,0.20522602311577032,0.0074838993927662245,0.18260340004874726,-0.004702261535979568,6
11,Almond_High,2016-12-29,Almond_High,Croplands,36.169669,-120.201004,1.1,1.9,0.6345462802719719,7.125991666666668,0.2821633208333333,1.0897363956666668,-0.0172133561558352,0.9998518392091162,0.16350034071655511,0.06877849223048126,0.4082215214627626,-0.16350034071655517,0,0.12901997808025067,0.11878239554713449,0.24269864852228018,-0.0167472242027481,6
12,Almond_High,2017-01-06,Almond_High,Croplands,36.169669,-120.201004,1.2,0.6,0.7745127715090868,5.961993395833335,0.2252230208333333,0.9938399749791664,0.1031016974474348,0.9946708199115212,-0.040667893800427436,0.13820002216695554,0.5429400978093106,0.04066789380042746,0,0.11307451753306935,-0.15457555913826762,-0.08050263979608405,0.037963105413242666,6
13,Almond_High,2017-01-31,Almond_High,Croplands,36.169669,-120.201004,1.1,3.9,0.730425230674694,9.705908333333335,0.2349611666666666,1.0808359443125002,0.5086709438521044,0.8609610158889943,-0.14332019138408073,0.12368589432484971,0.6891391374914468,0.14332019138408073,0,-0.26449782911952974,-0.017270043935429136,-0.14819270109728327,-0.006542056951350054,6
14,Almond_High,2017-02-23,Almond_High,Croplands,36.169669,-120.201004,1.8,1.8000001,1.3835112860232868,6.723454166666667,0.3864496083333333,1.5265613006041667,0.8013610881746766,0.5981809144059164,-0.32510738765530384,0.18601279088653155,0.624253838854513,0.32510738765530384,0,-0.4919177967723468,-0.12452081115119504,-0.3588835550423697,0.013746364401728937,6
15,Almond_High,2017-02-24,Almond_High,Croplands,36.169669,-120.201004,1.9,4.3,1.1086171742527675,5.946418125,0.3494167583333335,1.3325013221041666,0.8115390590073611,0.5842981736283683,-0.9586475637650839,0.148902040924517,0.7327404154311117,0.6241180877293809,0,-0.9200149146332743,-0.8328692412647358,-1.123058535397241,0.07584034227591076,6
16,Almond_High,2017-03-03,Almond_High,Croplands,36.169669,-120.201004,2.7,5.8,1.0078822036738566,12.01881875,0.5572786208333333,1.2927860154166664,0.8758917051442429,0.4825077417612184,-0.9617425615736751,0.27731493071995833,0.9464049337411884,0.9617425615736751,0,-0.6755166485985094,-0.9805188144843778,-1.229192221638138,0.15603050326180723,6
