row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,correction,spread,distance,gain,inner_fold,correction_20260713,correction_20260714,correction_20260715,predicted_gain,outer_fold
0,Almond_High,2016-10-18,Almond_High,Croplands,36.169669,-120.201004,2.8,4.7000003,3.2692028299273965,15.92115416666667,0.8792485312499999,1.981040947125,-0.9510565162951536,0.3090169943749472,-0.4670973790438666,0.08617545824518592,0.5073188626645639,-0.4670973790438666,1,-0.4498610755808525,-0.5605883296332289,-0.3908427319175185,0.005960851040167598,0
1,Almond_High,2016-10-19,Almond_High,Croplands,36.169669,-120.201004,2.7,4.1,3.3010889439100146,17.11445833333333,1.1666514708333335,1.650064305041666,-0.9455963874271428,0.3253420847119795,-0.4377796713682443,0.08071405484297016,0.4744792727828561,-0.43777967136824425,1,-0.46026173167183004,-0.5048691995737965,-0.3482080828591063,0.005960851040167598,0
2,Almond_High,2016-10-26,Almond_High,Croplands,36.169669,-120.201004,2.6,3.7,3.4350545255037304,19.530833333333337,1.3863679250000005,1.0243062465624997,-0.8996308696522434,0.4366512319560638,-0.11054054663613076,0.10088366889203225,0.4724075584739861,-0.11054054663613078,1,-0.10219158856564942,-0.2153392564682834,-0.014090794874459467,0.020644430033529615,0
3,Almond_High,2016-11-03,Almond_High,Croplands,36.169669,-120.201004,1.9,2.9,2.334877953351536,14.920789583333333,0.4930906729166667,0.9247025995833332,-0.8311706263658079,0.5560174366570446,-0.20881555621755377,0.04136592736904739,0.4038342208228394,-0.20881555621755377,1,-0.1807041195176189,-0.1894280347110051,-0.25631451442403735,0.0034798736579547407,0
4,Almond_High,2016-11-11,Almond_High,Croplands,36.169669,-120.201004,2.5,2.2,2.7000762496688107,19.603416666666664,1.1845941458333331,1.089986917208333,-0.7469720876965551,0.6648553979642867,0.07982216371059375,0.2236593185691145,0.7255221066341233,0.07982216371059375,1,0.2390737788022592,0.1762721441108119,-0.17587943178128984,0.036263656443414304,0
5,Almond_High,2016-11-12,Almond_High,Croplands,36.169669,-120.201004,1.9,2.0,2.7264139166428487,18.873187500000004,0.8960911145833333,1.1228501896875,-0.7354170229639858,0.6776147890466887,0.3021517262302427,0.012435554808337617,0.6519274057841645,0.30215172623024267,1,0.31651104956010456,0.29499202759447474,0.2949521015361489,0.029691335893994107,0
6,Almond_High,2016-11-19,Almond_High,Croplands,36.169669,-120.201004,1.5,2.2,2.7975236141092656,16.410229166666667,1.0027266416666667,2.169221181020833,-0.6486295610349818,0.7611042586607742,0.19629622589425635,0.06298374289812983,0.5266521194674854,0.19629622589425644,1,0.14156640278831215,0.2651392849052787,0.18218298998917823,0.023836764206633644,0
7,Almond_High,2016-11-27,Almond_High,Croplands,36.169669,-120.201004,0.6,3.3,2.3380649992034033,10.393670833333331,0.3336782104166667,1.2914638640833334,-0.5380051715382992,0.8429415373547832,-0.23351785241329961,0.08922168895815097,0.4028437620320931,-0.2335178524132997,1,-0.15374315988050632,-0.2169471735280957,-0.3298632238312968,0.0034798736579547407,0
8,Almond_High,2016-12-13,Almond_High,Croplands,36.169669,-120.201004,0.8,0.7,0.6193984978949034,12.30406666666667,0.3672009604166666,0.7228942865000001,-0.2884824328806098,0.9574851883550388,0.26262775077422235,0.15083454073080715,0.650158806264862,-0.26262775077422235,1,0.2818775477783917,0.10309240345702927,0.402913301087246,0.027581139374725304,0
9,Almond_High,2016-12-14,Almond_High,Croplands,36.169669,-120.201004,1.0,1.2,0.4734243753850046,13.690118750000003,0.4505191416666665,1.2998963814166666,-0.2719581575341052,0.9623090774541488,0.27176383857031555,0.10007367585124069,0.5122344064936816,-0.2717638385703155,1,0.3756403021969493,0.17598497689498974,0.26366623661900757,0.02588842802176732,0
